"filename", "language", "Dart", "comment", "blank", "total"
"/Users/devsingh/projects/exp/devender_expense_manager_task/lib/core/error/failures.dart", "Dart", 10, 1, 6, 17
"/Users/devsingh/projects/exp/devender_expense_manager_task/lib/core/init/hive_init.dart", "Dart", 10, 1, 4, 15
"/Users/devsingh/projects/exp/devender_expense_manager_task/lib/core/init/notification_init.dart", "Dart", 106, 9, 16, 131
"/Users/devsingh/projects/exp/devender_expense_manager_task/lib/core/logging/logging.dart", "Dart", 7, 1, 2, 10
"/Users/devsingh/projects/exp/devender_expense_manager_task/lib/features/expense/data/datasources/expense_local_datasource.dart", "Dart", 7, 4, 4, 15
"/Users/devsingh/projects/exp/devender_expense_manager_task/lib/features/expense/data/expense_hive_datasource.dart", "Dart", 73, 0, 15, 88
"/Users/devsingh/projects/exp/devender_expense_manager_task/lib/features/expense/data/expense_hive_datasource.g.dart", "Dart", 42, 4, 8, 54
"/Users/devsingh/projects/exp/devender_expense_manager_task/lib/features/expense/data/models/expense_model.dart", "Dart", 33, 2, 5, 40
"/Users/devsingh/projects/exp/devender_expense_manager_task/lib/features/expense/data/models/expense_summary_modal.dart", "Dart", 33, 2, 6, 41
"/Users/devsingh/projects/exp/devender_expense_manager_task/lib/features/expense/data/repositories/expense_repository_impl.dart", "Dart", 160, 6, 25, 191
"/Users/devsingh/projects/exp/devender_expense_manager_task/lib/features/expense/domain/entities/expense.dart", "Dart", 14, 0, 2, 16
"/Users/devsingh/projects/exp/devender_expense_manager_task/lib/features/expense/domain/entities/expense_summary.dart", "Dart", 14, 0, 3, 17
"/Users/devsingh/projects/exp/devender_expense_manager_task/lib/features/expense/domain/repositories/expense_repository.dart", "Dart", 12, 5, 6, 23
"/Users/devsingh/projects/exp/devender_expense_manager_task/lib/features/expense/domain/usecases/add_expense.dart", "Dart", 20, 2, 8, 30
"/Users/devsingh/projects/exp/devender_expense_manager_task/lib/features/expense/domain/usecases/delete_expense.dart", "Dart", 19, 2, 7, 28
"/Users/devsingh/projects/exp/devender_expense_manager_task/lib/features/expense/domain/usecases/get_expense.dart", "Dart", 13, 1, 4, 18
"/Users/devsingh/projects/exp/devender_expense_manager_task/lib/features/expense/domain/usecases/get_expense_summary.dart", "Dart", 21, 2, 8, 31
"/Users/devsingh/projects/exp/devender_expense_manager_task/lib/features/expense/domain/usecases/update_expense.dart", "Dart", 20, 2, 8, 30
"/Users/devsingh/projects/exp/devender_expense_manager_task/lib/features/expense/presentation/blocs/expense_bloc/expense_bloc.dart", "Dart", 105, 0, 8, 113
"/Users/devsingh/projects/exp/devender_expense_manager_task/lib/features/expense/presentation/blocs/expense_bloc/expense_event.dart", "Dart", 19, 0, 5, 24
"/Users/devsingh/projects/exp/devender_expense_manager_task/lib/features/expense/presentation/blocs/expense_bloc/expense_state.dart", "Dart", 16, 0, 8, 24
"/Users/devsingh/projects/exp/devender_expense_manager_task/lib/features/expense/presentation/blocs/expense_summary_bloc/expense_summary_bloc.dart", "Dart", 27, 3, 6, 36
"/Users/devsingh/projects/exp/devender_expense_manager_task/lib/features/expense/presentation/blocs/expense_summary_bloc/expense_summary_event.dart", "Dart", 16, 0, 5, 21
"/Users/devsingh/projects/exp/devender_expense_manager_task/lib/features/expense/presentation/blocs/expense_summary_bloc/expense_summary_state.dart", "Dart", 20, 0, 11, 31
"/Users/devsingh/projects/exp/devender_expense_manager_task/lib/features/expense/presentation/pages/home_page.dart", "Dart", 43, 0, 5, 48
"/Users/devsingh/projects/exp/devender_expense_manager_task/lib/features/expense/presentation/screens/add_expense_screen.dart", "Dart", 148, 0, 11, 159
"/Users/devsingh/projects/exp/devender_expense_manager_task/lib/features/expense/presentation/screens/expense_list_screen.dart", "Dart", 112, 2, 5, 119
"/Users/devsingh/projects/exp/devender_expense_manager_task/lib/features/expense/presentation/screens/expense_summary_screen.dart", "Dart", 46, 1, 6, 53
"/Users/devsingh/projects/exp/devender_expense_manager_task/lib/features/expense/presentation/widgets/expense_list_item.dart", "Dart", 59, 0, 5, 64
"/Users/devsingh/projects/exp/devender_expense_manager_task/lib/features/expense/presentation/widgets/expense_pie_chart.dart", "Dart", 290, 14, 34, 338
"/Users/devsingh/projects/exp/devender_expense_manager_task/lib/features/expense/presentation/widgets/summary_category_item.dart", "Dart", 87, 0, 7, 94
"/Users/devsingh/projects/exp/devender_expense_manager_task/lib/injection_container.dart", "Dart", 43, 5, 7, 55
"/Users/devsingh/projects/exp/devender_expense_manager_task/lib/main.dart", "Dart", 36, 1, 8, 45
"/Users/devsingh/projects/exp/devender_expense_manager_task/lib/usecases/usecase.dart", "Dart", 10, 1, 1, 12
"Total", "-", 1691, 71, 269, 2031
